47,Zaanse koeken,22,3,10 - 4 oz boxes,9.5000,36,0,0,false,Zaanse Snoepfabriek,Dirk Luchte,Accounting Manager,"Verkoop
Rijnweg 22",Zaandam,"",9999 ZZ,Netherlands,(12345) 1212,(12345) 1210,"",Confections,"Desserts, candies, and sweet breads",[B@2101b907
48,Chocolade,22,3,10 pkgs.,12.7500,15,70,25,false,Zaanse Snoepfabriek,Dirk Luchte,Accounting Manager,"Verkoop
Rijnweg 22",Zaandam,"",9999 ZZ,Netherlands,(12345) 1212,(12345) 1210,"",Confections,"Desserts, candies, and sweet breads",[B@2e4a413a
19,Teatime Chocolate Biscuits,8,3,10 boxes x 12 pieces,9.2000,25,0,5,false,"Specialty Biscuits, Ltd.",Peter Wilson,Sales Representative,29 King's Way,Manchester,"",M14 GSD,UK,(161) 555-4448,"","",Confections,"Desserts, candies, and sweet breads",[B@45a8a13c
20,Sir Rodney's Marmalade,8,3,30 gift boxes,81.0000,40,0,0,false,"Specialty Biscuits, Ltd.",Peter Wilson,Sales Representative,29 King's Way,Manchester,"",M14 GSD,UK,(161) 555-4448,"","",Confections,"Desserts, candies, and sweet breads",[B@7f0f8e7f
21,Sir Rodney's Scones,8,3,24 pkgs. x 4 pieces,10.0000,3,40,5,false,"Specialty Biscuits, Ltd.",Peter Wilson,Sales Representative,29 King's Way,Manchester,"",M14 GSD,UK,(161) 555-4448,"","",Confections,"Desserts, candies, and sweet breads",[B@536ad918
68,Scottish Longbreads,8,3,10 boxes x 8 pieces,12.5000,6,10,15,false,"Specialty Biscuits, Ltd.",Peter Wilson,Sales Representative,29 King's Way,Manchester,"",M14 GSD,UK,(161) 555-4448,"","",Confections,"Desserts, candies, and sweet breads",[B@2f5501de
49,Maxilaku,23,3,24 - 50 g pkgs.,20.0000,10,60,15,false,Karkki Oy,Anne Heikkonen,Product Manager,Valtakatu 12,Lappeenranta,"",53120,Finland,(953) 10956,"","",Confections,"Desserts, candies, and sweet breads",[B@2f74e449
50,Valkoinen suklaa,23,3,12 - 100 g bars,16.2500,65,0,30,false,Karkki Oy,Anne Heikkonen,Product Manager,Valtakatu 12,Lappeenranta,"",53120,Finland,(953) 10956,"","",Confections,"Desserts, candies, and sweet breads",[B@2c8bfbae
16,Pavlova,7,3,32 - 500 g boxes,17.4500,29,0,10,false,"Pavlova, Ltd.",Ian Devling,Marketing Manager,"74 Rose St.
Moonie Ponds",Melbourne,Victoria,3058,Australia,(03) 444-2343,(03) 444-6588,"",Confections,"Desserts, candies, and sweet breads",[B@292c453e
62,Tarte au sucre,29,3,48 pies,49.3000,17,0,0,false,Forts d'rables,Chantal Goulet,Accounting Manager,148 rue Chasseur,Ste-Hyacinthe,Qubec,J2S 7S8,Canada,(514) 555-2955,(514) 555-2921,"",Confections,"Desserts, candies, and sweet breads",[B@2ef0ea34
25,NuNuCa Nu-Nougat-Creme,11,3,20 - 450 g glasses,14.0000,76,0,30,false,Heli Swaren GmbH & Co. KG,Petra Winkler,Sales Manager,Tiergartenstrae 5,Berlin,"",10785,Germany,(010) 9984510,"","",Confections,"Desserts, candies, and sweet breads",[B@26ae050f
26,Gumbr Gummibrchen,11,3,100 - 250 g bags,31.2300,15,0,0,false,Heli Swaren GmbH & Co. KG,Petra Winkler,Sales Manager,Tiergartenstrae 5,Berlin,"",10785,Germany,(010) 9984510,"","",Confections,"Desserts, candies, and sweet breads",[B@558bccff
27,Schoggi Schokolade,11,3,100 - 100 g pieces,43.9000,49,0,30,false,Heli Swaren GmbH & Co. KG,Petra Winkler,Sales Manager,Tiergartenstrae 5,Berlin,"",10785,Germany,(010) 9984510,"","",Confections,"Desserts, candies, and sweet breads",[B@1ec566c5
