58,Escargots de Bourgogne,27,8,24 pieces,13.2500,62,0,20,false,Escargots Nouveaux,Marie Delamare,Sales Manager,"22, rue H. Voiron",Montceau,"",71300,France,85.57.00.07,"","",Seafood,Seaweed and fish,[B@64e4feb8
30,Nord-Ost Matjeshering,13,8,10 - 200 g glasses,25.8900,10,0,15,false,Nord-Ost-Fisch Handelsgesellschaft mbH,Sven Petersen,Coordinator Foreign Markets,Frahmredder 112a,Cuxhaven,"",27478,Germany,(04721) 8713,(04721) 8714,"",Seafood,Seaweed and fish,[B@5878f81e
13,Konbu,6,8,2 kg box,6.0000,24,0,5,false,Mayumi's,Mayumi Ohno,Marketing Representative,"92 Setsuko
Chuo-ku",Osaka,"",545,Japan,(06) 431-7877,"",Mayumi's (on the World Wide Web)#http://www.microsoft.com/accessdev/sampleapps/mayumi.htm#,Seafood,Seaweed and fish,[B@40df48b9
40,Boston Crab Meat,19,8,24 - 4 oz tins,18.4000,123,0,30,false,New England Seafood Cannery,Robb Merchant,Wholesale Account Agent,"Order Processing Dept.
2100 Paul Revere Blvd.",Boston,MA,02134,USA,(617) 555-3267,(617) 555-3389,"",Seafood,Seaweed and fish,[B@6216057d
41,Jack's New England Clam Chowder,19,8,12 - 12 oz cans,9.6500,85,0,10,false,New England Seafood Cannery,Robb Merchant,Wholesale Account Agent,"Order Processing Dept.
2100 Paul Revere Blvd.",Boston,MA,02134,USA,(617) 555-3267,(617) 555-3389,"",Seafood,Seaweed and fish,[B@214426b9
36,Inlagd Sill,17,8,24 - 250 g  jars,19.0000,112,0,20,false,Svensk Sjfda AB,Michael Bjrn,Sales Representative,Brovallavgen 231,Stockholm,"",S-123 45,Sweden,08-123 45 67,"","",Seafood,Seaweed and fish,[B@3e639287
37,Gravad lax,17,8,12 - 500 g pkgs.,26.0000,11,50,25,false,Svensk Sjfda AB,Michael Bjrn,Sales Representative,Brovallavgen 231,Stockholm,"",S-123 45,Sweden,08-123 45 67,"","",Seafood,Seaweed and fish,[B@4439f72
73,Rd Kaviar,17,8,24 - 150 g jars,15.0000,101,0,5,false,Svensk Sjfda AB,Michael Bjrn,Sales Representative,Brovallavgen 231,Stockholm,"",S-123 45,Sweden,08-123 45 67,"","",Seafood,Seaweed and fish,[B@56ac4f6a
10,Ikura,4,8,12 - 200 ml jars,31.0000,31,0,0,false,Tokyo Traders,Yoshi Nagase,Marketing Manager,"9-8 Sekimai
Musashino-shi",Tokyo,"",100,Japan,(03) 3555-5011,"","",Seafood,Seaweed and fish,[B@56ddcae8
18,Carnarvon Tigers,7,8,16 kg pkg.,62.5000,42,0,0,false,"Pavlova, Ltd.",Ian Devling,Marketing Manager,"74 Rose St.
Moonie Ponds",Melbourne,Victoria,3058,Australia,(03) 444-2343,(03) 444-6588,"",Seafood,Seaweed and fish,[B@74888d1e
45,Rogede sild,21,8,1k pkg.,9.5000,5,70,15,false,Lyngbysild,Niels Petersen,Sales Manager,"Lyngbysild
Fiskebakken 10",Lyngby,"",2800,Denmark,43844108,43844115,"",Seafood,Seaweed and fish,[B@6c2834f2
46,Spegesild,21,8,4 - 450 g glasses,12.0000,95,0,0,false,Lyngbysild,Niels Petersen,Sales Manager,"Lyngbysild
Fiskebakken 10",Lyngby,"",2800,Denmark,43844108,43844115,"",Seafood,Seaweed and fish,[B@584bf102
