59,Raclette Courdavault,28,4,5 kg pkg.,55.0000,79,0,0,false,Gai pturage,Eliane Noz,Sales Representative,"Bat. B
3, rue des Alpes",Annecy,"",74000,France,38.76.98.06,38.76.98.58,"",Dairy Products,Cheeses,[B@254f2bd2
60,Camembert Pierrot,28,4,15 - 300 g rounds,34.0000,19,0,0,false,Gai pturage,Eliane Noz,Sales Representative,"Bat. B
3, rue des Alpes",Annecy,"",74000,France,38.76.98.06,38.76.98.58,"",Dairy Products,Cheeses,[B@13c8d6aa
11,Queso Cabrales,5,4,1 kg pkg.,21.0000,22,30,30,false,Cooperativa de Quesos 'Las Cabras',Antonio del Valle Saavedra,Export Administrator,Calle del Rosal 4,Oviedo,Asturias,33007,Spain,(98) 598 76 54,"","",Dairy Products,Cheeses,[B@17d18c72
12,Queso Manchego La Pastora,5,4,10 - 500 g pkgs.,38.0000,86,0,0,false,Cooperativa de Quesos 'Las Cabras',Antonio del Valle Saavedra,Export Administrator,Calle del Rosal 4,Oviedo,Asturias,33007,Spain,(98) 598 76 54,"","",Dairy Products,Cheeses,[B@551deef1
33,Geitost,15,4,500 g,2.5000,112,0,20,false,Norske Meierier,Beate Vileid,Marketing Manager,Hatlevegen 5,Sandvika,"",1320,Norway,(0)2-953010,"","",Dairy Products,Cheeses,[B@9d05e3b
69,Gudbrandsdalsost,15,4,10 kg pkg.,36.0000,26,0,15,false,Norske Meierier,Beate Vileid,Marketing Manager,Hatlevegen 5,Sandvika,"",1320,Norway,(0)2-953010,"","",Dairy Products,Cheeses,[B@5c78a42d
71,Flotemysost,15,4,10 - 500 g pkgs.,21.5000,26,0,0,false,Norske Meierier,Beate Vileid,Marketing Manager,Hatlevegen 5,Sandvika,"",1320,Norway,(0)2-953010,"","",Dairy Products,Cheeses,[B@475111cc
31,Gorgonzola Telino,14,4,12 - 100 g pkgs,12.5000,0,70,20,false,Formaggi Fortini s.r.l.,Elio Rossi,Sales Representative,"Viale Dante, 75",Ravenna,"",48100,Italy,(0544) 60323,(0544) 60603,#FORMAGGI.HTM#,Dairy Products,Cheeses,[B@7d0115b1
32,Mascarpone Fabioli,14,4,24 - 200 g pkgs.,32.0000,9,40,25,false,Formaggi Fortini s.r.l.,Elio Rossi,Sales Representative,"Viale Dante, 75",Ravenna,"",48100,Italy,(0544) 60323,(0544) 60603,#FORMAGGI.HTM#,Dairy Products,Cheeses,[B@76abbdac
72,Mozzarella di Giovanni,14,4,24 - 200 g pkgs.,34.8000,14,0,0,false,Formaggi Fortini s.r.l.,Elio Rossi,Sales Representative,"Viale Dante, 75",Ravenna,"",48100,Italy,(0544) 60323,(0544) 60603,#FORMAGGI.HTM#,Dairy Products,Cheeses,[B@6feb3698
