MORGK,12,1335.0
RANCH,2,1130.1
RATTC,8,3343.5999999999995
BLONP,2,4049.0
OCEAN,1,319.20000000000005
THEBI,10,180.4
BONAP,10,3948.9
MAGAA,12,1650.0
ANTON,9,1332.4
SAVEA,12,6038.6
OLDWO,9,5839.5
LEHMS,12,3603.2200000000003
MEREP,7,5466.0
WHITC,10,3798.45
MAGAA,8,1687.45
LEHMS,1,581.0
GALED,1,338.20000000000005
BERGS,12,2318.8999999999996
MAISD,5,946.0
FOLIG,12,4303.0
GREAL,4,1101.58
MEREP,10,6335.3
RANCH,1,932.0
QUICK,10,15962.3
QUICK,2,23147.4
LACOR,3,1343.05
REGGC,2,1235.6
LINOD,1,4100.5
VAFFE,4,990.0
FRANK,1,1438.25
WOLZA,12,858.85
ROMEY,8,241.89999999999998
CACTU,12,12.5
WELLI,3,700.0
RICAR,6,965.0
WHITC,5,928.75
TRADH,8,1296.0
HILAA,7,3762.9
QUEDE,12,1352.65
RATTC,5,1374.6
REGGC,8,89.0
AROUT,4,491.5
ERNSH,5,5218.0
TRADH,7,1413.0
HANAR,8,1535.0
REGGC,6,543.0
DRACD,1,1030.76
RATTC,6,2276.5
REGGC,4,1153.0
LEHMS,2,388.35
MORGK,10,114.0
CACTU,2,150.0
REGGC,7,28.0
LONEP,9,2132.0
BOLID,12,4035.8
GREAL,1,8891.0
CHOPS,4,5529.8
SAVEA,1,6204.9
GALED,2,70.0
CENTC,7,100.8
BSBEV,7,493.0
VAFFE,7,877.5
HUNGC,1,102.4
QUEDE,7,1255.38
HANAR,5,2162.8
SPLIR,3,439.0
OCEAN,3,3001.0
FOLKO,3,2636.0
QUICK,7,3900.0
THEBI,12,2775.0
FOLKO,7,724.5
WILMK,7,120.0
BOTTM,4,3900.8
BLONP,8,450.0
MAGAA,9,608.0
LAMAI,11,1165.4
LAMAI,8,62.0
DUMON,9,331.79999999999995
TOMSP,7,2927.4
ISLAT,8,758.5
PERIC,3,1249.1
WHITC,11,4626.0
REGGC,3,560.0
LILAS,8,1414.8000000000002
WELLI,1,2037.6
LAMAI,2,414.0
WELLI,8,1422.0
SIMOB,1,11283.2
COMMI,3,324.0
LEHMS,7,3036.65
TORTU,10,1191.1999999999998
WANDK,9,3594.95
WANDK,11,1502.4
BLAUS,3,677.0
OLDWO,7,565.5
SPECD,11,52.349999999999994
FOLKO,10,4807.5
FAMIA,6,387.5
GODOS,8,2775.05
THECR,4,326.0
BLAUS,4,1143.8
BERGS,8,3605.6000000000004
FAMIA,4,618.0
FOLKO,6,2844.5
WANDK,4,3991.5
PERIC,11,568.8
SIMOB,6,835.1999999999999
HANAR,10,1150.0
FOLKO,4,10196.25
FAMIA,8,1820.1999999999998
WARTH,7,364.79999999999995
VICTE,12,572.1
FOLKO,12,5315.2
BSBEV,8,479.4
WILMK,10,642.0
RATTC,3,14267.6
QUICK,1,5873.8
VINET,9,121.6
PICCO,4,3658.75
GREAL,7,6754.0
HUNGO,9,11794.15
SIMOB,5,244.29999999999998
TORTU,6,838.45
SANTG,12,1058.4
GALED,3,137.5
HUNGC,7,479.8
VICTE,7,670.8
ERNSH,11,7511.8
GOURL,11,1498.35
RICSU,7,2490.5
QUEDE,3,1353.6
TORTU,4,4150.05
BSBEV,6,477.0
TOMSP,3,910.4
HILAA,3,7568.9
BONAP,11,5017.35
ANTON,11,403.20000000000005
ISLAT,3,1151.0
LAMAI,3,936.0
WARTH,11,1871.25
WHITC,1,3523.4
VICTE,3,496.0
SAVEA,5,4722.3
PRINI,3,672.0
WARTH,5,2890.3
QUEEN,9,1291.6
HUNGO,4,6108.5
ANTON,4,881.25
OLDWO,4,554.4
VAFFE,3,6062.5
HANAR,2,4059.55
GOURL,1,1020.0
WARTH,8,2005.5
BERGS,1,3884.95
RATTC,2,11380.0
SAVEA,3,7375.25
CACTU,4,530.5
MEREP,1,11493.2
MORGK,8,1200.8
RATTC,9,5162.0
TRADH,1,4401.62
WELLI,2,405.0
CONSH,3,156.00000000000003
WHITC,4,10291.0
LEHMS,4,4038.3999999999996
FRANK,4,2974.0
THECR,12,228.0
MEREP,2,1078.0
LAZYK,5,210.0
ROMEY,4,361.0
GOURL,3,155.0
HUNGO,1,1748.5
CACTU,1,477.0
OTTIK,12,2310.0
WELLI,12,1255.8
HILAA,8,2054.0
RANCH,10,706.0
BSBEV,4,1500.0
FRANS,12,18.4
WARTH,2,3077.0
AROUT,2,735.0
BSBEV,5,495.3
SUPRD,9,2708.7999999999997
BERGS,11,1459.0
QUICK,9,4850.4
GODOS,9,1242.0
LILAS,1,3107.5
FRANS,1,49.8
TRAIH,1,237.89999999999998
FURIB,3,2221.3
OLDWO,10,2827.5
SAVEA,4,25352.840000000004
LAUGB,4,278.0
VICTE,5,2812.0
COMMI,4,1317.75
WARTH,6,2413.9
WOLZA,7,808.0
RICAR,3,1472.0
ANATR,8,479.75
ERNSH,1,17710.9
AROUT,12,2567.1
QUEEN,1,2018.2
ALFKI,1,851.0
LINOD,8,2720.05
SEVES,11,3654.4
OCEAN,5,110.0
SAVEA,9,9628.1
CONSH,1,931.5
RICAR,1,3388.0
GODOS,5,749.0
TORTU,5,360.0
QUEEN,11,1296.75
RICSU,4,3592.0
QUEEN,10,595.5
BLONP,11,7390.2
